0.00,14.45,9.33,9.14,10.77,7.52,8.15,11.86,9.91,11.49
14.45,0.00,10.13,11.73,10.17,11.12,10.61,10.74,10.09,9.93
9.33,10.13,0.00,8.18,7.93,7.91,7.33,8.87,7.08,8.89
9.14,11.73,8.18,0.00,9.09,6.12,9.30,8.92,7.02,8.35
10.77,10.17,7.93,9.09,0.00,8.00,8.78,7.58,7.38,6.01
7.52,11.12,7.91,6.12,8.00,0.00,6.70,9.21,6.97,8.26
8.15,10.61,7.33,9.30,8.78,6.70,0.00,10.89,8.59,10.44
11.86,10.74,8.87,8.92,7.58,9.21,10.89,0.00,8.47,5.43
9.91,10.09,7.08,7.02,7.38,6.97,8.59,8.47,0.00,6.40
11.49,9.93,8.89,8.35,6.01,8.26,10.44,5.43,6.40,0.00
