0.000000000000000000e+00,1.444960796590657992e+01,9.334555870229642949e+00,9.143733671882783298e+00,1.076984443763348587e+01,7.519296259597182619e+00,8.154443125778971790e+00,1.186455505463407789e+01,9.907901737320392144e+00,1.148887493741704091e+01
1.444960796590657992e+01,0.000000000000000000e+00,1.012532257709666972e+01,1.173323290183107126e+01,1.017378643128178517e+01,1.111880040746743603e+01,1.061470036628356617e+01,1.074315367352473238e+01,1.008677677303818143e+01,9.932093699343711890e+00
9.334555870229642949e+00,1.012532257709666972e+01,0.000000000000000000e+00,8.178284885647819635e+00,7.932541482770051111e+00,7.906796320949823098e+00,7.331807539320809752e+00,8.872531069307180829e+00,7.077516177863561353e+00,8.887747852000188686e+00
9.143733671882783298e+00,1.173323290183107126e+01,8.178284885647819635e+00,0.000000000000000000e+00,9.087607799539474840e+00,6.118750020921417843e+00,9.302064730092098443e+00,8.922400934698304198e+00,7.020424894700361129e+00,8.354350120111869060e+00
1.076984443763348587e+01,1.017378643128178517e+01,7.932541482770051111e+00,9.087607799539474840e+00,0.000000000000000000e+00,8.001517414291123842e+00,8.782232647560890726e+00,7.583012282564444817e+00,7.380908991053923174e+00,6.010407930895997453e+00
7.519296259597182619e+00,1.111880040746743603e+01,7.906796320949823098e+00,6.118750020921417843e+00,8.001517414291123842e+00,0.000000000000000000e+00,6.698691718889527635e+00,9.211954024577227784e+00,6.967386475240774146e+00,8.258538068421223954e+00
8.154443125778971790e+00,1.061470036628356617e+01,7.331807539320809752e+00,9.302064730092098443e+00,8.782232647560890726e+00,6.698691718889527635e+00,0.000000000000000000e+00,1.088823739841899041e+01,8.587222275506706026e+00,1.044000351884068323e+01
1.186455505463407789e+01,1.074315367352473238e+01,8.872531069307180829e+00,8.922400934698304198e+00,7.583012282564444817e+00,9.211954024577227784e+00,1.088823739841899041e+01,0.000000000000000000e+00,8.467785300988438735e+00,5.426474119055887613e+00
9.907901737320392144e+00,1.008677677303818143e+01,7.077516177863561353e+00,7.020424894700361129e+00,7.380908991053923174e+00,6.967386475240774146e+00,8.587222275506706026e+00,8.467785300988438735e+00,0.000000000000000000e+00,6.401165868585439789e+00
1.148887493741704091e+01,9.932093699343711890e+00,8.887747852000188686e+00,8.354350120111869060e+00,6.010407930895997453e+00,8.258538068421223954e+00,1.044000351884068323e+01,5.426474119055887613e+00,6.401165868585439789e+00,0.000000000000000000e+00
